auditStatus,auditStatusName,dataProductDescription,dataProductType,dataProductTypeLabel,dataProductTypeName,flag,how,id,industry,industryList,industryListLabel,industryName,industrySectorType,industrySectorTypeLabel,industrySectorTypeList,name,node,productProviderName,productStatus,productStatusName,purchasePrice,rn,sceneCategoryType,sceneCategoryTypeLabel,sceneCategoryTypeList
3,,"针对车辆偏离车道的检测，通过车道线识别算法判断，当车轮外沿接近/越过车道线某个距离（可配置，范围为正负20cm，默认值为-20cm，即越过车道线20cm），启动报警。
",4,数据报告,,0,1,1147245670076399616,3,[3],"[""教育科技""]",,3,青易险,,ADAS车道偏离检测算法,一级审批,青岛海信网络科技股份有限公司,2,,按需可议,,,,
3,,提供典型行业的电商数据分析工作流和API服务，以核心指标的报告和数据包作为交付，以表格和文字的形式呈现，包括销量、销售额、转化率、竞争对比、用户口碑等标签和数据列。,2,数据集,,0,3,1180924863097946112,20,[20],"[""其他""]",,6,青易保,,电商数据分析数据集,一级审批,青岛千瑞数联信息技术有限公司,2,,可面议,,,,
3,,帮助广告主衡量在互联网的整体品牌声量和广告投放效率，比较各平台的热度、评估互动率和健康指数。,2,数据集,,0,3,1180909443456516096,20,[20],"[""其他""]",,6,青易保,,跨媒体视频广告互动营销效果模型,一级审批,青岛南罗岛科技发展有限公司,2,,可面议,,,,
3,," 浩鲸科技围绕数据治理咨询方法、数据资产持续运营，通过“盘一规一融一评”数据治理的四轮驱动法，为客户提供数据治理方法论、平台工具及服务，助力行业客户快速构建体系化、平台化、高效化的数据治理能力，加快行业客户数字化转型进程。
浩鲸数据治理服务，形成了统一平台、统一数据标准体系以及统一指标体系；
1、形成包括数据归集规范、数据开发规范、数据服务规范、数据模型标准规范、数据质量规范、数据安全规范等统一的标准规范体系，指导数据中台、数据治理和数据应用建设。
2、统一平台开始数据治理实施，实现数据统一接入、统一链路，对实时数据、离线数据、iot数据等外部数据进行统一管理，并对外统一提供数据共享服务；
3、统一的指标体系，支撑精准分析和运营；跟踪指标数据质量，确定数据质量规则并配置定期稽核。
4、数据落库管理，对标指标库，提供数据回溯，同时也为后续数据共享与应用提供数据基础。",4,数据报告,,0,1,1174338668637274112,20,[20],"[""其他""]",,,,,数据治理服务,一级审批,浩鲸云计算科技股份有限公司,2,,按需可议,,,,
3,,面对青岛各行业经济景气分析的需求，通过整合各行业日电量核心数据，以标准化数据治理为抓手赋能电力经济态势研判。,4,数据报告,,0,1,1170161252691951616,20,[20],"[""其他""]",,6,青易保,,电力看行业数据产品,一级审批,国网山东省电力公司青岛供电公司,2,,协商议价,,12,其他,
3,,为客户提供短时预报、短期预报、七天预报、预警等信息,1,API,,0,1,1190714698847305728,6,[6],"[""社保就业""]",,6,青易保,,青岛市气象预报预警产品数据集,一级审批,青岛市气象台（青岛市海洋气象台）,2,,面议,,12,其他,
3,,基于本地化强对流、大风、海雾客观方法、多波段雷达组网融合分析产品，精准分5个海区进行每日两次未来72小时预报、分批次靶向早期预警，最大限度提高海上作业、处置效率。,1,API,,0,1,1190713714569986048,6,[6],"[""社保就业""]",,6,青易保,,青岛市海区分区预报预警产品,一级审批,青岛市气象台（青岛市海洋气象台）,2,,面议,,12,其他,
3,,"""本算法面向城市街道、园区、车站等检测区域，通过实时视频监控，对桶口/桶盖朝上的垃圾桶进行检测，对仓满溢出的垃圾桶进行预警，报警结果包括垃圾桶满溢告警图片、告警时间、告警区域。支持有盖无盖、多种颜色、多种款式、多种尺寸的垃圾桶满溢检测。报警结果可联动第三方业务系统平台，辅助改善市容环境，提高城市环境治理效率和效果。
算法精度：准确率≥90%，召回率≥90%""
",4,数据报告,,0,1,1146116875785224192,3,[3],"[""教育科技""]",,3,青易险,,垃圾桶满溢算法,一级审批,青岛海信网络科技股份有限公司,2,,按需可议,,,,
3,,"""本算法可实时检测工地和化工园场景下的佩戴安全帽行为，通过视频监控，对检测区域内的人头和佩戴安全帽的行为进行检测，当检测到未佩戴安全帽的人头且持续时间超过指定时间（支持用户自定义），则告警，报警结果包括未佩戴安全帽告警图片、告警时间、告警点位。算法支持红、黄、蓝色安全帽检测，支持最小检测目标30*30像素、最大检测目标100*100像素（以1920*1080为例）。
算法精度：准确率≥90%，召回率≥90%""
",4,数据报告,,0,1,1146131742378311680,3,[3],"[""教育科技""]",,3,青易险,,安全帽检测算法,一级审批,青岛海信网络科技股份有限公司,2,,按需可议,,,,
3,,"""面向城市道路低洼处、桥洞口、隧道等容易出现积水的区域，城市积水检测算法可检测划定区域内积水的位置、面积，支持同一画面区域多个积水点的检测，支持黄色、浑浊等多种类型积水的检测，当检测到积水范围大于设定积水阈值区域时，则立即告警，报警信息包括积水告警图片、告警时间和告警区域。
算法精度：准确率≥95%，召回率≥90%""
",4,数据报告,,0,1,1146114726896484352,3,[3],"[""教育科技""]",,3,青易险,,城市积水检测算法,一级审批,青岛海信网络科技股份有限公司,2,,按需可议,,,,
3,,青岛范围24小时内、1小时分辨率，温度、风、降水量等6种气象要素0.5*0.5公里（关键区域0.1*0.1公里）网格预报数据集。,1,API,,0,1,1190715631413051392,6,[6],"[""社保就业""]",,6,青易保,,海陆一体快速更新无缝隙智能预报系统,一级审批,青岛市气象台（青岛市海洋气象台）,2,,面议,,12,其他,
3,,基于EC细网格模式预报产品，利用支持向量机技术，将观测数据和数值模式预报结果通过回归分析，得到风速预报偏差订正的一般规律，完成大风客观预报模型，生成青岛近海站点的时间分辨率3h的风速客观预报产品。,1,API,,0,1,1190706784648642560,6,[6],"[""社保就业""]",,6,青易保,,青岛沿海大风客观预报产品,一级审批,青岛市气象台（青岛市海洋气象台）,2,,面议,,12,其他,
3,,基于EC细网格模式预报产品，利用支持向量机技术，将观测数据和数值模式预报结果通过回归分析，得到风速预报偏差订正的一般规律，完成大风客观预报模型，生成青岛近海站点的时间分辨率3h的风速客观预报产品。,1,API,,0,1,1190706784648642560,6,[6],"[""社保就业""]",,6,青易保,,青岛沿海大风客观预报产品,一级审批,青岛市气象台（青岛市海洋气象台）,2,,面议,,12,其他,
3,,"""本算法面向城市街道、园区、车站等检测区域，通过实时视频监控，对桶口/桶盖朝上的垃圾桶进行检测，对仓满溢出的垃圾桶进行预警，报警结果包括垃圾桶满溢告警图片、告警时间、告警区域。支持有盖无盖、多种颜色、多种款式、多种尺寸的垃圾桶满溢检测。报警结果可联动第三方业务系统平台，辅助改善市容环境，提高城市环境治理效率和效果。
算法精度：准确率≥90%，召回率≥90%""
",4,数据报告,,0,1,1146116875785224192,3,[3],"[""教育科技""]",,3,青易险,,垃圾桶满溢算法,一级审批,青岛海信网络科技股份有限公司,2,,按需可议,,,,
