uid,registrationDataName,productImage,dataContentIntroduction,industryClassification,dataProvisionMethod,Negotiable,sjType
2fd51ecc06e14ea887fc963571ab50e3,河北省衡水市-其他金融业-衡水市“银行房企信贷”产品和服务,defaultProductThumbnail,该产品基于衡水市建筑工程施工许可证等数据源开发形成，具备提高银行获客效率，降低数据采集和安全合规成本的功能，可支撑银行缩短相应授信初审时间。,5135600b31a811f0a22c0242ac120012,0,面议,预上架
74f4aaceb19242f39a19c6edb00b1240,保定市涿州市-国家机构-涿州市企业融资需求数据场景公共数据,defaultProductThumbnail,覆盖中小微、科技型等企业，形成多维度、高效率的融资服务场景。,51d6a2ab31a811f0a22c0242ac120012,1,面议,预上架
03de40bcb0474a4a823d1af394196610,保定市高阳县-水的生产和供应业-润阳水务公司用户用水量数据产品,defaultProductThumbnail,数据涵盖【润阳水务公司用户用水量信息】，具备用户核验、用水分析等功能，可支撑家庭用水户用水健康及安全监测场景。,5093c5bc31a811f0a22c0242ac120012,2,面议,预上架
a32a076b637845b38f3e2b20c7ec9259,河北省张家口市-社会保障-临时救助对象信息数据集,defaultProductThumbnail,该数据资源为张家口市宣化区民政局进行临时救助对象工作时产生的信息数据，包含序号、地区等。,51e4be6d31a811f0a22c0242ac120012,0,面议,预上架
9b03cf08b7384a8290142329141f4e5f,河北省张家口市-社会保障-农村老年人基本信息数据集,defaultProductThumbnail,该数据资源为张家口市宣化区民政局关于收集农村老年人基本信息时产生的数据，包含所属城市、姓名、民族等。,51e4be6d31a811f0a22c0242ac120012,0,面议,预上架
d28bf743bed645fc9660e8b74a9ed3c2,河北省张家口市-社会保障-农村特困最低生活保障对象信息查询清单数据集,defaultProductThumbnail,该数据资源为张家口市宣化区民政局进行农村特困最低生活保障对象工作时产生的信息数据，包含序号、地区等。,51e4be6d31a811f0a22c0242ac120012,0,面议,预上架
f40171b22944495a9ddd8f92560197f8,保定市顺平县-道路运输业-公交车车辆信息产品,defaultProductThumbnail,该数据产品和服务基于顺平县公交车车辆信息产品数据源开发形成，具有序号、车牌号等功能，可服务与开发智慧公交场景建设工作。,50c4baad31a811f0a22c0242ac120012,0,面议,预上架
9b5cef3577fa48829ff866a710b78f34,保定市顺平县-道路运输业-公交车运行实时位置信息产品,defaultProductThumbnail,该数据产品和服务基于顺平县公交车运行实时位置信息源开发形成，具有车牌编号、车牌号、告警时间、实时位置功能，可服务与开发智慧公交场景建设工作。,50cbc1bd31a811f0a22c0242ac120012,0,面议,预上架
4c66ef89649c4392b4f06b9f1417dc01,河北省邢台市-保险业-中标贷,defaultProductThumbnail,中标后的企业常面临项目启动阶段的资金压力，但中小企业普遍存在资金周转困难，传统贷款难以满足其及时的资金需求，银行难以全面掌握企业经营状况和项目实际进展。为此，银行基于“中标积分”，实现信贷决策的标准化,512e7c6931a811f0a22c0242ac120012,0,面议,预上架
0da90d0280db4bca9c2b66fcee419bcf,保定市易县-农业-易县土壤质量数据产品,defaultProductThumbnail,该数据产品基于易县农业局耕地质量监测数据资源开发形成，具备测土配方从源头提升原料红薯的淀粉含量与品质稳定性等功能，可支撑土壤适配、种植指导、原料预测、品质溯源等服务。,5e9e70c51b3b4ff2b66abca470f2590b,2,面议,预上架
164e23831d9c459aa168746d8d20f0b2,保定市-居民服务业-保定市婚姻状况评估单人场景化服务产品,defaultProductThumbnail,数据涵盖【婚姻登记信息、离婚登记信息、家庭关系数据、社保缴费信息、信用记录】,5182539c31a811f0a22c0242ac120012,0,面议,预上架
